CO_CATEGAD,CO_TURNO_GRADUACAO,QE_I01_Outro,QE_I01_Separado,QE_I01_Solteiro,QE_I01_Viúvo,QE_I01_nan,"QE_I08_Até 1,5 Salário Mínimo","QE_I08_De 1,5 a 3 Salários Mínimos",QE_I08_De 10 a 30 Salário Mínimos,"QE_I08_De 3 a 4,5 Salários Mínimos","QE_I08_De 4,5 a 6 Salário Mínimos",QE_I08_De 6 a 10 Salário Mínimos,QE_I08_nan,QE_I10_Trabalha eventualmente,QE_I10_Trabalho 21h/39h semanais,QE_I10_Trabalho 40h +,QE_I10_Trabalho até 20h semanais,QE_I10_nan,QE_I05_Fundamental I,QE_I05_Fundamental II,QE_I05_Nenhuma,QE_I05_Pós-graduação,QE_I05_Superior,QE_I05_nan,QE_I03_Brasileira naturalizada,QE_I03_Estrangeira,QE_I03_nan,QE_I09_Possui renda/Outros,QE_I09_Possui renda/Sustento,QE_I09_Possui renda/principal,QE_I09_Sem renda/Outros,QE_I09_nan,TP_SEXO_M,QE_I17_Privada,QE_I17_Pública,QE_I17_nan,QE_I04_Fundamental I,QE_I04_Fundamental II,QE_I04_Nenhuma,QE_I04_Pós-graduação,QE_I04_Superior,QE_I04_nan,QE_I13_IC,QE_I13_Monitoria/Tutoria,QE_I13_Nenhum,QE_I13_Outro,QE_I13_PET,QE_I13_nan,QE_I21_Sim,QE_I21_nan,QE_I11_Não se aplica,QE_I11_Sim,QE_I11_nan,QE_I15_IC,QE_I15_Monitoria/Tutoria,QE_I15_Não,QE_I15_Outro,QE_I15_PET,QE_I15_nan,QE_I12_Moradia,QE_I12_Moradia e Alimentação,QE_I12_Nenhum,QE_I12_Outro,QE_I12_Permanência,QE_I12_nan,QE_I02_Branca,QE_I02_Indígena,QE_I02_Não declarado,QE_I02_Parda,QE_I02_Preta,QE_I02_nan,NU_IDADE,NT_GER
1,2.0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,3.3099021782992097,0.5776953983229105
1,2.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,-0.853362082153098,0.4987487823965548
1,2.0,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,-0.5203009413169133,-0.10124549864374915
1,2.0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.18723980048072872,-0.10914016023638427
1,2.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,-0.5203009413169133,1.2250576489190281
1,2.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,0.4788824811916405,0.664536675841902
1,2.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,0.4788824811916405,1.2882149416601125
1,2.0,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,-0.353770370898821,1.240846972104299
1,2.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,-0.18723980048072872,2.3776782414438222
1,2.0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,-0.6868315117350057,-0.16440279138483355
